Common_Name,Genus,Species,Variety,Subspecies,PLANTS_Code
Senegal mahogany,Khaya,senegalensis,NA,NA,KHSE2
Kigelia africana,Kigelia,africana,NA,NA,KIAF
guest tree,Kleinhovia,hospita,NA,NA,KLHO
goldenrain tree,Koelreuteria,bipinnata,NA,NA,KOBI3
goldenrain tree,Koelreuteria,paniculata,NA,NA,KOPA
Molokai treecotton,Kokia,cookei,NA,NA,KOCO2
Hawaii treecotton,Kokia,drynarioides,NA,NA,KODR
Kauai treecotton,Kokia,kauaiensis,NA,NA,KOKA
Wailupe Valley treecotton,Kokia,lanceolata,NA,NA,KOLA2
leadwood,Krugiodendron,ferreum,NA,NA,KRFE
burgan,Kunzea,ericoides,NA,NA,KUER
summit labordia,Labordia,fagraeoidea,NA,NA,LAFA2
bog labordia,Labordia,hedyosmifolia,NA,NA,LAHE2
mountain labordia,Labordia,hirtella,NA,NA,LAHI5
Waianae Range labordia,Labordia,kaalae,NA,NA,LAKA
Wahiawa Mountain labordia,Labordia,lydgatei,NA,NA,LALY2
labordia,Labordia,sppNA,NA,NA,LABOR
paleflower labordia,Labordia,tinifolia,NA,NA,LATI2
Lanai labordia,Labordia,triflora,NA,NA,LATR4
Nevada peavine,Labordia,waiolani,NA,NA,LAWA3
golden chain tree,Laburnum,anagyroides,NA,NA,LAAN2
cuero de rana,Laetia,procera,NA,NA,LAPR2
crapemyrtle,Lagerstroemia,indica,NA,NA,LAIN
pride of India,Lagerstroemia,speciosa,NA,NA,LASP
white mangrove,Laguncularia,racemosa,NA,NA,LARA2
Langsat,Lansium,domesticum,NA,NA,LADO2
nino de cota,Laplacea,portoricensis,NA,NA,LAPO
European larch,Larix,decidua,NA,NA,LADE2
Japanese larch,Larix,kaempferi,NA,NA,LAKA2
tamarack,Larix,laricina,NA,NA,LALA
subalpine larch,Larix,lyallii,NA,NA,LALY
western larch,Larix,occidentalis,NA,NA,LAOC
Siberian larch,Larix,sibirica,NA,NA,LASI3
larch sppNA,Larix,sppNA,NA,NA,LARIX
bluelatan,Latania,loddigesii,NA,NA,LALO
henna,Lawsonia,inermis,NA,NA,LAIN5
Krug's roughleaf,Leandra,krugiana,NA,NA,LEKR
pitahaya,Leptocereus,quadricostatus,NA,NA,LEQU
large-leaf yellow teatree,Leptospermum,morrisonii,NA,NA,LEMO20
common teatree,Leptospermum,petersonii,NA,NA,LEPE23
common teatree,Leptospermum,polygalifolim,NA,NA,LEPO22
broom teatree,Leptospermum,scoparium,NA,NA,LESC2
teatree,Leptospermum,sppNA,NA,NA,LEPTO4
white leadtree,Leucaena,leucocephala,NA,NA,LELE10
Great leucaene,Leucaena,pulverulenta,NA,NA,LEPU3
littleleaf leadtree,Leucaena,retusa,NA,NA,LERE5
Maria laurel,Licaria,brittoniana,NA,NA,LIBR5
Puerto Rico cinnamon,Licaria,parvifolia,NA,NA,LIPA9
pepperleaf sweetwood,Licaria,triandra,NA,NA,LITR
Japanese privet,Ligustrum,japonicum,NA,NA,LIJA
glossy privet,Ligustrum,lucidum,NA,NA,LILU2
Oriental sweetgum,Liquidambar,orientalis,NA,NA,LIOR2
sweetgum,Liquidambar,styraciflua,NA,NA,LIST2
yellow-poplar,Liriodendron,tulipifera,NA,NA,LITU
Lychee,Litchi,chinensis,NA,NA,LICH4
tanoak,Lithocarpus,densiflorus,NA,NA,LIDE3
papaono,Litsea,samoensis,NA,NA,LISA8
fountain palm,Livistona,chinensis,NA,NA,LICH3
geno geno,Lonchocarpus,domingensis,NA,NA,LODO5
geno,Lonchocarpus,glaucifolius,NA,NA,LOGL2
broadleaf lancepod,Lonchocarpus,heptaphyllus,NA,NA,LOHE7
vinegartree,Lophostemon,confertus,NA,NA,LOCO9
luehea,Luehea,speciosa,NA,NA,LUSP11
"bakauaine, nana",Lumnitzera,littorea,NA,NA,LULI8
Lunania ekmanii,Lunania,ekmanii,NA,NA,LUEK
StNA Thomas staggerbush,Lyonia,rubiginosa,NA,NA,LYRU2
false tamarind,Lysiloma,latisiliquum,NA,NA,LYLA3
"macadamia nut tree, pengua",Macadamia,integrifolia,NA,NA,MAIN8
Macadamia Nut,Macadamia,tetraphylla,NA,NA,MATE16
bedel,Macaranga,carolinensis,NA,NA,MACA25
Macaranga grayana,Macaranga,grayana,NA,NA,MAGR
lau pata,Macaranga,harveyana,NA,NA,MAHA9
pengua,Macaranga,mappa,NA,NA,MAMA28
lau fatu,Macaranga,stipulosa,NA,NA,MAST7
parasol leaf tree,Macaranga,tanarius,NA,NA,MATA3
Macaranga thompsonii,Macaranga,thompsonii,NA,NA,MATH3
palo de hoz,Machaerium,lunatum,NA,NA,MALU2
Puerto Rico alfilerillo,Machaonia,portoricensis,NA,NA,MAPO6
Osage-orange,Maclura,pomifera,NA,NA,MAPO
Maclura tinctoria,Maclura,tinctoria,NA,NA,MATI3
umbrella-tree,Maesopsis,eminii,NA,NA,MAEM2
cucumbertree,Magnolia,acuminata,NA,NA,MAAC
mountain or Fraser magnolia,Magnolia,fraseri,NA,NA,MAFR
southern magnolia,Magnolia,grandiflora,NA,NA,MAGR4
bigleaf magnolia,Magnolia,macrophylla,NA,NA,MAMA2
Puerto Rico magnolia,Magnolia,portoricensis,NA,NA,MAPO2
pyramid magnolia,Magnolia,pyramidata,NA,NA,MAPY
laurel magnolia,Magnolia,splendens,NA,NA,MASP
star magnolia,Magnolia,stellata,NA,NA,MAST6
umbrella magnolia,Magnolia,tripetala,NA,NA,MATR
sweetbay,Magnolia,virginiana,NA,NA,MAVI2
Chinese magnolia,Magnolia,x soulangiana,NA,NA,MASO9
kamala tree,Mallotus,philippensis,NA,NA,MAPH4
Mallotus tiliifolius,Mallotus,tiliifolius,NA,NA,MATI4
Barbados cherry,Malpighia,emarginata,NA,NA,MAEM
palo bronco,Malpighia,fucata,NA,NA,MAFU2
wild crapemyrtle,Malpighia,glabra,NA,NA,MAGL6
cowhage cherry,Malpighia,infestissima,NA,NA,MAIN5
bastard cherry,Malpighia,linearis,NA,NA,MALI2
southern crab apple,Malus,angustifolia,NA,NA,MAAN3
Siberian crab apple,Malus,baccata,NA,NA,MABA
sweet crab apple,Malus,coronaria,NA,NA,MACO5
Japanese flowering crab apple,Malus,floribunda,NA,NA,MAFL80
Oregon crab apple,Malus,fusca,NA,NA,MAFU
prairie crab apple,Malus,ioensis,NA,NA,MAIO
paradise apple,Malus,pumila,NA,NA,MAPU
apple sppNA,Malus,sppNA,NA,NA,MALUS
mammee apple,Mammea,americana,NA,NA,MAAM2
manapau,Mammea,glauca,NA,NA,MAGL12
chopak,Mammea,odorata,NA,NA,MAOD2
mango,Mangifera,indica,NA,NA,MAIN3
kanit,Mangifera,minor,NA,NA,MAMI3
saipan mango,Mangifera,odorata,NA,NA,MAOD
ceara rubbertree,Manihot,carthaginensis sspNA Glaziovii,NA,NA,MACAG4
bulletwood,Manilkara,bidentata,NA,NA,MABI5
Surinam bulletwood,Manilkara,bidentata,NA,surinamensis,MABIS
pani,Manilkara,dissecta,NA,NA,MADI14
kohle,Manilkara,hoshinoi,NA,NA,MAHO5
wild dilly,Manilkara,jaimiqui,NA,NA,MAJA2
zapote de costa,Manilkara,pleeana,NA,NA,MAPL2
udeuid,Manilkara,udoido,NA,NA,MAUD
nisperillo,Manilkara,valenzuela,NA,NA,MAVA3
sapodilla,Manilkara,zapota,NA,NA,MAZA
palo de cana,Mappia,racemosa,NA,NA,MARA3
"bkau, apgau",Maranthes,corymbosa,NA,NA,MACO
bastard hogberry,Margaritaria,nobilis,NA,NA,MANO
beruquillo,Marlierea,sintenisii,NA,NA,MASI3
Matayba apetala,Matayba,apetala,NA,NA,MAAP5
negra lora,Matayba,domingensis,NA,NA,MADO2
mayten,Maytenus,boaria,NA,NA,MABO8
Caribbean mayten,Maytenus,cymosa,NA,NA,MACY2
Puerto Rico mayten,Maytenus,elongata,NA,NA,MAEL3
white cinnamon,Maytenus,laevigata,NA,NA,MALA8
Maytenus palauica,Maytenus,palauica,NA,NA,MAPA28
ponce mayten,Maytenus,ponceana,NA,NA,MAPO5
luluhut,Maytenus,thompsonii,NA,NA,MATH4
Mecranium latifolium,Mecranium,latifolium,NA,NA,MELA7
Medusanthera carolinensis,Medusanthera,carolinensis,NA,NA,MECA21
matamo,Medusanthera,samoensis,NA,NA,MESA11
cajeput tree,Melaleuca,linariifolia,NA,NA,MELI7
melaleuca,Melaleuca,quinquenervia,NA,NA,MEQU
alom,Melanolepis,multiglandulosa,NA,NA,MEMU10
chinaberry,Melia,azedarach,NA,NA,MEAZ
Spanish lime,Melicoccus,bijugatus,NA,NA,MEBI
mokihana,Melicope,anisata,NA,NA,MEAN3
Ballous melicope,Melicope,balloui,NA,NA,MEBA2
uahiapele,Melicope,barbigera,NA,NA,MEBA3
Waianae Range melicope,Melicope,christophersenii,NA,NA,MECH2
manena,Melicope,cinerea,NA,NA,MECI6
kukaemoa,Melicope,clusiifolia,NA,NA,MECL
piloula,Melicope,cruciata,NA,NA,MECR5
leiohiiaka,Melicope,elliptica,NA,NA,MEEL2
Haleakala melicope,Melicope,haleakalae,NA,NA,MEHA7
Haupa Mountain melicope,Melicope,haupuensis,NA,NA,MEHA3
mokihana kukae moa,Melicope,hawaiensis,NA,NA,MEHA4
Monoa melicope,Melicope,hiiakae,NA,NA,MEHI6
Honolulu melicope,Melicope,hosakae,NA,NA,MEHO2
Kaala melicope,Melicope,kaalaensis,NA,NA,MEKA2
Olokele Valley melicope,Melicope,knudsenii,NA,NA,MEKN
soopini,Melicope,latifolia,NA,NA,MERE8
Kaholuamanu melicope,Melicope,macropus,NA,NA,MEMA6
Makaha Valley melicope,Melicope,makahae,NA,NA,MEMA7
Molokai melicope,Melicope,molokaiensis,NA,NA,MEMO6
alani,Melicope,mucronulata,NA,NA,MEMU4
Oahu melicope,Melicope,oahuensis,NA,NA,MEOA
Makawao melicope,Melicope,obovata,NA,NA,MEOB4
Honokahua melicope,Melicope,orbicularis,NA,NA,MEOR4
Hana melicope,Melicope,ovalis,NA,NA,MEOV
eggshape melicope,Melicope,ovata,NA,NA,MEOV2
pale melicope,Melicope,pallida,NA,NA,MEPA6
Lihue melicope,Melicope,paniculata,NA,NA,MEPA7
boxfruit alani,Melicope,peduncularis,NA,NA,MEPE9
Kohala Summit melicope,Melicope,pseudoanisata,NA,NA,MEPS
hairy melicope,Melicope,puberula,NA,NA,MEPU4
fourangle melicope,Melicope,quadrangularis,NA,NA,MEQU3
kapu melicope,Melicope,radiata,NA,NA,MERA2
roundleaf melicope,Melicope,rotundifolia,NA,NA,MERO3
StNA Johns melicope,Melicope,saint-johnii,NA,NA,MESA4
MtNA Kaala melicope,Melicope,sandwicensis,NA,NA,MESA5
melicope,Melicope,sppNA,NA,NA,MELIC3
volcanic melicope,Melicope,volcanica,NA,NA,MEVO
alani wai,Melicope,waialealae,NA,NA,MEWA2
Monoa melicope,Melicope,wawraeana,NA,NA,MEWA4
kipuka piaula,Melicope,zahlbruckneri,NA,NA,MEZA
samoensis,Melicytus,samoensis,NA,NA,MESA9
aguacatillo,Meliosma,herbertii,NA,NA,MEHE
cacaillo,Meliosma,obtusifolia,NA,NA,MEOB2
mao,Melochia,aristata,NA,NA,MEAR16
teabush,Melochia,tomentosa,NA,NA,METO4
hierba del soldado,Melochia,umbellata,NA,NA,MEUM3
sayafe,Melochia,villosissima,compacta,NA,MEVIC4
sayafe,Melochia,villosissima,villosissima,NA,MEVIV
faniok,Merrilliodendron,megacarpum,NA,NA,MEME12
fagufagu,Meryta,macrophylla,NA,NA,MEMA16
omechidel,Meryta,senfftiana,NA,NA,MESE11
dawn redwood,Metasequoia,glyptostroboides,NA,NA,MEGL8
Florida poisontree,Metopium,toxiferum,NA,NA,METO3
collina,Metrosideros,collina,NA,NA,MEPOP2
ohia,Metrosideros,macropus,NA,NA,MEMA4
ohia lehua,Metrosideros,polymorpha,NA,NA,MEPO5
lehua papa,Metrosideros,rugosa,NA,NA,MERU2
lehua ahihi,Metrosideros,tremuloides,NA,NA,METR5
Kauai bottlebrush,Metrosideros,waialealae,NA,NA,MEWA
ivory-nut palm,Metroxylon,amicarum,NA,NA,MEAM4
sago palm,Metroxylon,sagu,NA,NA,MESA7
Orange Champak,Michelia,champaca,NA,NA,MICH4
saquiyac,Miconia,affinis,NA,NA,MIAF
velvet tree,Miconia,calvescens,NA,NA,MICA20
Puerto Rico johnnyberry,Miconia,foveolata,NA,NA,MIFO
camasey de costilla,Miconia,impetiolaris,NA,NA,MIIM
smooth johnnyberry,Miconia,laevigata,NA,NA,MILA8
hairy johnnyberry,Miconia,lanata,NA,NA,MILA10
camasey cuatrocanales,Miconia,mirabilis,NA,NA,MIMI3
camasey racimoso,Miconia,pachyphylla,NA,NA,MIPA7
granadillo bobo,Miconia,prasina,NA,NA,MIPR3
auquey,Miconia,punctata,NA,NA,MIPU9
ridge johnnyberry,Miconia,pycnoneura,NA,NA,MIPY2
camasey felpa,Miconia,racemosa,NA,NA,MIRA2
peralejo,Miconia,rubiginosa,NA,NA,MIRU4
jau jau,Miconia,serrulata,NA,NA,MISE2
mountain johnnyberry,Miconia,sintenisii,NA,NA,MISI2
forest johnnyberry,Miconia,subcorymbosa,NA,NA,MISU3
rajador,Miconia,tetrandra,NA,NA,MITE4
camasey tomaso,Miconia,thomasiana,NA,NA,MITH
talafulu,Micromelum,minutum,NA,NA,MIMI23
caimitillo verde,Micropholis,garciniifolia,NA,NA,MIGA
Micropholis guyanensis,Micropholis,guyanensis,NA,NA,MIGU2
pinnata,Millettia,pinnata,NA,NA,MIPI9
elegant mimosa,Mimosa,arenosa,NA,NA,MIAR4
"bulletwood, elengi",Mimusops,elengi,NA,NA,MIEL4
monodora,Monodora,sppNA,NA,NA,MONOD
treedaisy,Montanoa,hibiscifolia,NA,NA,MOHI
Wax Myrtle,Morella,cerifera,NA,NA,MOCE2
firetree,Morella,faya,NA,NA,MOFA
Morella holdridgeana,Morella,holdridgeana,NA,NA,MOHO3
Indian mulberry,Morinda,citrifolia,NA,NA,MOCI3
kesengelngel,Morinda,latibractea,NA,NA,MOLA12
Morinda pedunculata,Morinda,pedunculata,NA,NA,MOPE2
noni kuahiwi,Morinda,trimera,NA,NA,MOTR
horseradishtree,Moringa,oleifera,NA,NA,MOOL
ratapple,Morisonia,americana,NA,NA,MOAM
white mulberry,Morus,alba,NA,NA,MOAL
Texas mulberry,Morus,microphylla,NA,NA,MOMI
black mulberry,Morus,nigra,NA,NA,MONI
red mulberry,Morus,rubra,NA,NA,MORU2
murta,Mouriri,domingensis,NA,NA,MODO2
mameyuelo,Mouriri,helleri,NA,NA,MOHE
falseohe,Munroidendron,racemosum,NA,NA,MURA3
strawberrytree,Muntingia,calabura,NA,NA,MUCA4
Murraya exotica,Murraya,exotica,NA,NA,MUEX2
Murraya koenigii,Murraya,koenigii,NA,NA,MUKO
aloalo vao,Mussaenda,raiateensis,NA,NA,MURA5
ngaio tree,Myoporum,laetum,NA,NA,MYLA5
naio,Myoporum,sandwicense,NA,NA,MYSA
red rodwood,Myrcia,citrifolia,NA,NA,MYCI
cieneguillo,Myrcia,deflexa,NA,NA,MYDE
curame,Myrcia,fallax,NA,NA,MYFA3
guayabacon,Myrcia,leptoclada,NA,NA,MYLE
ausu,Myrcia,paganii,NA,NA,MYPA
punchberry,Myrcia,splendens,NA,NA,MYSP
twinberry,Myrcianthes,fragrans,NA,NA,MYFR
jaboticaba,Myrciaria,cauliflora,NA,NA,MYCA9
guavaberry,Myrciaria,floribunda,NA,NA,MYFL
"yamamomo, strawberry tree",Myrica,rubra,NA,NA,MYRU3
atoneulu,Myristica,hypargyraea,NA,NA,MYHY2
adepurot,Myristica,insularis,NA,NA,MYIN3
Myristica inutilis,Myristica,inutilis,NA,NA,MYIN4
cercipo,Myrospermum,frutescens,NA,NA,MYFR2
balsam of Tolu,Myroxylon,balsamum,NA,NA,MYBA3
forest colicwood,Myrsine,alyxifolia,NA,NA,MYAL4
leathery colicwood,Myrsine,coriacea,NA,NA,MYCO2
Myrsine cubana,Myrsine,cubana,NA,NA,MYCU2
summit colicwood,Myrsine,degeneri,NA,NA,MYDE2
mountain colicwood,Myrsine,emarginata,NA,NA,MYEM
streambank colicwood,Myrsine,fernseei,NA,NA,MYFE
Koolau Range colicwood,Myrsine,fosbergii,NA,NA,MYFO
Wahiawa Bog colicwood,Myrsine,helleri,NA,NA,MYHE3
Kauai colicwood,Myrsine,kauaiensis,NA,NA,MYKA
Kokee colicwood,Myrsine,knudsenii,NA,NA,MYKN
Lanai colicwood,Myrsine,lanaiensis,NA,NA,MYLA3
kolea lau nui,Myrsine,lessertiana,NA,NA,MYLE2
Hanapepe River colicwood,Myrsine,mezii,NA,NA,MYME2
Myrsine palauensis,Myrsine,palauensis,NA,NA,MYPA7
swamp colicwood,Myrsine,petiolata,NA,NA,MYPE3
Molokai colicwood,Myrsine,pukooensis,NA,NA,MYPU2
kokea lau lii,Myrsine,sandwicensis,NA,NA,MYSA2
MtNA Kahili colicwood,Myrsine,wawraea,NA,NA,MYWA
Nectandra coriacea,Nectandra,coriacea,NA,NA,NECO
shinglewood,Nectandra,hihua,NA,NA,NEHI2
Nectandra krugii,Nectandra,krugii,NA,NA,NEKR
Nectandra membranacea,Nectandra,membranacea,NA,NA,NEME3
Nectandra patens,Nectandra,patens,NA,NA,NEPA4
Nectandra turbacensis,Nectandra,turbacensis,NA,NA,NETU
saltwood,Neea,buxifolia,NA,NA,NEBU
kadam,Neolamarckia,cadamba,NA,NA,NECA7
aquilon,Neolaugeria,resinosa,NA,NA,NERE2
afa,Neonauclea,forsteri,NA,NA,NEFO2
Rambutan,Nephelium,lappaceum,NA,NA,NELA7
pulasan,Nephelium,ramboutan-ake,NA,NA,NERA3
maaloa,Neraudia,melastomifolia,NA,NA,NEME5
keahi,Nesoluma,polynesicum,NA,NA,NEPO
Hawaii olive,Nestegis,sandwicensis,NA,NA,NESA2
"kalm, aralm",Neuburgia,celebica,NA,NA,NECE
tree tobacco,Nicotiana,glauca,NA,NA,NIGL
smallflower aiea,Nothocestrum,breviflorum,NA,NA,NOBR2
broadleaf aiea,Nothocestrum,latifolium,NA,NA,NOLA
longleaf aiea,Nothocestrum,longifolium,NA,NA,NOLO
Oahu aiea,Nothocestrum,peltatum,NA,NA,NOPE
kaala rockwort,Nototrichium,humile,NA,NA,NOHU
Hawaii rockwort,Nototrichium,sandwicense,NA,NA,NOSA
water tupelo,Nyssa,aquatica,NA,NA,NYAQ2
swamp tupelo,Nyssa,biflora,NA,NA,NYBI
Ogeechee tupelo,Nyssa,ogeche,NA,NA,NYOG
blackgum,Nyssa,sylvatica,NA,NA,NYSY
African bird's-eye bush,Ochna,mossambicensis,NA,NA,OCMO4
Thomas birds-eye bush,Ochna,thomasiana,NA,NA,OCTH
Ochroma pyramidale,Ochroma,pyramidale,NA,NA,OCPY
holei,Ochrosia,compta,NA,NA,OCCO
island yellowwood,Ochrosia,haleakalae,NA,NA,OCHA
Kauai yellowwood,Ochrosia,kauaiensis,NA,NA,OCKA
Hawaii yellowwood,Ochrosia,kilaueaensis,NA,NA,OCKI
langiti,Ochrosia,mariannensis,NA,NA,OCMA2
fao,Ochrosia,oppositifolia,NA,NA,OCOP
laurel espada,Ocotea,floribunda,NA,NA,OCFL
black sweetwood,Ocotea,foeniculacea,NA,NA,OCFO
loblolly sweetwood,Ocotea,leucoxylon,NA,NA,OCLE
nemoca,Ocotea,moschata,NA,NA,OCMO
laurel sassafras,Ocotea,nemodaphne,NA,NA,OCNE
laurel de paloma,Ocotea,portoricensis,NA,NA,OCPO
nemoca cimarrona,Ocotea,spathulata,NA,NA,OCSP
Wright's laurel canelon,Ocotea,wrightii,NA,NA,OCWR
olive,Olea,europaea,NA,NA,OLEU
"amansis, edebsungelked, necklace bead tree",Ormosia,calavensis,NA,NA,ORCA12
peronia,Ormosia,krugii,NA,NA,ORKR
kesiamel,Osmoxylon,oliveri,NA,NA,OSOL
kesiamel,Osmoxylon,pachyphyllum,NA,NA,OSPA
kesiamel,Osmoxylon,truncatum,NA,NA,OSTR
eastern hophornbeam,Ostrya,virginiana,NA,NA,OSVI
pincho palo de rosa,Ottoschulzia,rhodoxylon,NA,NA,OTRH
chicharron amarillo,Ouratea,ilicifolia,NA,NA,OUIL
abey amarillo,Ouratea,littoralis,NA,NA,OULI
guanabanilla,Ouratea,striata,NA,NA,OUST
blacklancewood,Oxandra,lanceolata,NA,NA,OXLA4
haya,Oxandra,laurifolia,NA,NA,OXLA5
sourwood,Oxydendrum,arboreum,NA,NA,OXAR
"miich era ngebard, guiana chestnut",Pachira,aquatica,NA,NA,PAAQ2
wild chestnut,Pachira,insignis,NA,NA,PAIN7
Palaquium karrak,Palaquium,karrak,NA,NA,PAKA
gasu,Palaquium,stehlinii,NA,NA,PAST24
tafetan,Palicourea,alpina,NA,NA,PAAL9
red cappel,Palicourea,crocea,NA,NA,PACR3
Palicourea croceoides,Palicourea,croceoides,NA,NA,PACR18
showy cappel,Palicourea,guianensis,NA,NA,PAGU
chertochet,Pandanus,aimiriikensis,NA,NA,PAAI
matal,Pandanus,cominsii,NA,NA,PACO51
pahong,Pandanus,dubius,NA,NA,PADU3
Pandanus japensis,Pandanus,japensis,NA,NA,PAJA2
buuk,Pandanus,kanehirae,NA,NA,PAKA2
"ongor, ertochet",Pandanus,macrojeanneretia,NA,NA,PAMA32
"ongor, ertochet",Pandanus,palawensis,NA,NA,PAPA38
peet,Pandanus,patina,NA,NA,PAPA39
ongor,Pandanus,peliliuensis,NA,NA,PAPE
fasa,Pandanus,reineckei,NA,NA,PARE19
screwpine,Pandanus,sppNA,NA,NA,PANDA
Tahitian screwpine,Pandanus,tectorius,NA,NA,PATE2
common screwpine,Pandanus,utilis,NA,NA,PAUT
rauel,Pangium,edule,NA,NA,PAED4
scratchthroat,Parathesis,crenulata,NA,NA,PACR2
sea,Parinari,insularum,NA,NA,PAIN20
ais,Parinari,laurina,NA,NA,PALA5
Parkia korom,Parkia,korom,NA,NA,PAKO5
kmekumer,Parkia,parvifoliola,NA,NA,PAPA2
parkia,Parkia,sppNA,NA,NA,PARKI3
Parkia timoriana,Parkia,timoriana,NA,NA,PATI5
Jerusalem thorn,Parkinsonia,aculeata,NA,NA,PAAC3
Texas paloverde,Parkinsonia,texana,NA,NA,PATE10
cuachilote,Parmentiera,aculeata,NA,NA,PAAC13
candle tree,Parmentiera,cereifera,NA,NA,PACE8
"paulownia, empress-tree",Paulownia,tomentosa,NA,NA,PATO2
Peltophorum pterocarpum,Peltophorum,pterocarpum,NA,NA,PEPT3
ngis,Pemphis,acidula,NA,NA,PEAC6
butter tree,Pentadesma,butyracea,NA,NA,PEBU4
jiqi,Pera,bumeliifolia,NA,NA,PEBU2
Pericopsis mooniana,Pericopsis,mooniana,NA,NA,PEMO13
olomea,Perrottetia,sandwicensis,NA,NA,PESA3
avocado,Persea,americana,NA,NA,PEAM3
redbay,Persea,borbonia,NA,NA,PEBO
canela,Persea,krugii,NA,NA,PEKR
swamp bay,Persea,palustris,NA,NA,PEPA37
aquacatillo,Persea,urbaniana,NA,NA,PEUR2
bastard stopper,Petitia,domingensis,NA,NA,PEDO
Phaleria nisidai,Phaleria,nisidai,NA,NA,PHNI11
Amur corktree,Phellodendron,amurense,NA,NA,PHAM2
aquilon prieto,Phialanthus,grandifolius,NA,NA,PHGR11
candlewood,Phialanthus,myrtilloides,NA,NA,PHMY
Canary Island date palm,Phoenix,canariensis,NA,NA,PHCA13
date palm,Phoenix,dactylifera,NA,NA,PHDA4
pygmy date palm,Phoenix,roebelenii,NA,NA,PHRO6
date palm,Phoenix,sylvestris,NA,NA,PHSY3
Chinese  photinia,Photinia,davidiana,NA,NA,PHDA5
Tahitian gooseberry tree,Phyllanthus,acidus,NA,NA,PHAC3
pamakani mahu,Phyllanthus,distichus,NA,NA,PHDI10
gamo de costa,Phyllanthus,juglandifolius,NA,NA,PHJU2
Phyllanthus orbicularis,Phyllanthus,orbicularis,NA,NA,PHOR10
Norway spruce,Picea,abies,NA,NA,PIAB
Brewer spruce,Picea,breweriana,NA,NA,PIBR
Engelmann spruce,Picea,engelmannii,NA,NA,PIEN
white spruce,Picea,glauca,NA,NA,PIGL
Sakhalin spruce,Picea,glehnii,NA,NA,PIGL7
black spruce,Picea,mariana,NA,NA,PIMA
Serbian spruce,Picea,omorika,NA,NA,PIOM2
blue spruce,Picea,pungens,NA,NA,PIPU
red spruce,Picea,rubens,NA,NA,PIRU
Sitka spruce,Picea,sitchensis,NA,NA,PISI
Florida bitterbush,Picramnia,pentandra,NA,NA,PIPE
bitterwood,Picrasma,excelsa,NA,NA,PIEX
fustic,Pictetia,aculeata,NA,NA,PIAC
aceitillo,Pilocarpus,racemosus,NA,NA,PIRA3
Royen's tree cactus,Pilosocereus,royenii,NA,NA,PIRO6
allspice,Pimenta,dioica,NA,NA,PIDI2
bayrumtree,Pimenta,racemosa,NA,NA,PIRA
bayrumtree,Pimenta,racemosa,grisea,NA,PIRAG
"chebouch, demailei",Pinanga,insignis,NA,NA,PIIN5
whitebark pine,Pinus,albicaulis,NA,NA,PIAL
Rocky Mountain bristlecone pine,Pinus,aristata,NA,NA,PIAR
Arizona pine,Pinus,arizonica,NA,NA,PIAR5
knobcone pine,Pinus,attenuata,NA,NA,PIAT
foxtail pine,Pinus,balfouriana,NA,NA,PIBA
jack pine,Pinus,banksiana,NA,NA,PIBA2
Bunge's pine,Pinus,bungeana,NA,NA,PIBU2
Canary Island pine,Pinus,canariensis,NA,NA,PICA15
Caribbean pine,Pinus,caribaea,NA,NA,PICA18
Mexican pinyon pine,Pinus,cembroides,NA,NA,PICE
sand pine,Pinus,clausa,NA,NA,PICL
lodgepole pine,Pinus,contorta,NA,NA,PICO
Coulter pine,Pinus,coulteri,NA,NA,PICO3
Japanese red pine,Pinus,densiflora,NA,NA,PIDE5
border pinyon,Pinus,discolor,NA,NA,PIDI3
shortleaf pine,Pinus,echinata,NA,NA,PIEC2
common or two-needle pinyon,Pinus,edulis,NA,NA,PIED
slash pine,Pinus,elliottii,NA,NA,PIEL
Honduras pine,Pinus,elliottii,elliottii,NA,PIELE2
Apache pine,Pinus,engelmannii,NA,NA,PIEN2
limber pine,Pinus,flexilis,NA,NA,PIFL2
spruce pine,Pinus,glabra,NA,NA,PIGL2
aleppo pine,Pinus,halepensis,NA,NA,PIHA7
Jeffrey pine,Pinus,jeffreyi,NA,NA,PIJE
sugar pine,Pinus,lambertiana,NA,NA,PILA
Chihuahuan pine,Pinus,leiophylla,NA,NA,PILE
Great Basin bristlecone pine,Pinus,longaeva,NA,NA,PILO
Chinese red pine,Pinus,massoniana,NA,NA,PIMA11
Merkus pine,Pinus,merkusii,NA,NA,PIME2
singleleaf pinyon,Pinus,monophylla,NA,NA,PIMO
Arizona pinyon pine,Pinus,monophylla,fallax,NA,PIMOF
western white pine,Pinus,monticola,NA,NA,PIMO3
bishop pine,Pinus,muricata,NA,NA,PIMU
Austrian pine,Pinus,nigra,NA,NA,PINI
ocote chino,Pinus,oocarpa,NA,NA,PIOO2
longleaf pine,Pinus,palustris,NA,NA,PIPA2
five-needle pine,Pinus,parviflora,NA,NA,PIPA12
Mexican weeping pine,Pinus,patula,NA,NA,PIPA13
maritime pine,Pinus,pinaster,NA,NA,PIPI6
Italian stone pine,Pinus,pinea,NA,NA,PIPI7
ponderosa pine,Pinus,ponderosa,NA,NA,PIPO
Table Mountain pine,Pinus,pungens,NA,NA,PIPU5
four-leaf or Parry pinyon pine,Pinus,quadrifolia,NA,NA,PIQU
Monterey pine,Pinus,radiata,NA,NA,PIRA2
papershell pinyon pine,Pinus,remota,NA,NA,PIRE5
red pine,Pinus,resinosa,NA,NA,PIRE
